pid,label,creator,_date,rights,type,_tags,order,layout,collection,thumbnail,full,manifest,names,desc,source
tmspro01,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph ,"Project documentation, events, alumni",00,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro01/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro01/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro01/manifest.json,"","",""
tmspro02,Photograph of Karen Taylor (l) and Dan Perlstein (r) at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",01,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro02/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro02/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro02/manifest.json,"","",""
tmspro03,Photograph of Kristalynn Williams and fellow alumna at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",02,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro03/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro03/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro03/manifest.json,"","",""
tmspro04,Photograph of Teachers College students Alton McCall and Amanda Deering at Modern School multigenerational reunion ,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",03,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro04/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro04/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro04/manifest.json,"","",""
tmspro05,Photograph of Daryl Sherman (l) and Sheryl Harrison (r) in conversation at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",04,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro05/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro05/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro05/manifest.json,"","",""
tmspro06,"Photograph of Bruce North (l), Juanita Coleman Merritt (c) and Victoria Horsford (r) on panel at Modern School multigenerational reunion","Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",05,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro06/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro06/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro06/manifest.json,"","",""
tmspro07,Photograph of Sheryl Harrison (l) and Daryl Sherman (r) at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",06,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro07/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro07/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro07/manifest.json,"","",""
tmspro08,Photograph of Ansley Erickson (standing) greeting participants at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",07,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro08/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro08/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro08/manifest.json,"","",""
tmspro09,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",08,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro09/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro09/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro09/manifest.json,"","",""
tmspro10,Photograph of [SINGER NAME] performing Lift Ev'ry Voice at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",09,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro10/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro10/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro10/manifest.json,"","",""
tmspro11,Photograph of [SINGER NAME] performing Lift Ev'ry Voice at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",10,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro11/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro11/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro11/manifest.json,"","",""
tmspro12,Photograph of [SINGER NAME] performing Lift Ev'ry Voice at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",11,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro12/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro12/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro12/manifest.json,"","",""
tmspro13,Photograph of [SINGER NAME] performing Lift Ev'ry Voice at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",12,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro13/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro13/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro13/manifest.json,"","",""
tmspro14,Photograph of [SINGER NAME] performing Lift Ev'ry Voice at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",13,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro14/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro14/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro14/manifest.json,"","",""
tmspro15,Photograph of Tina Campt greeting participants at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",14,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro15/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro15/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro15/manifest.json,"","",""
tmspro16,Photograph of Tina Campt greeting participants at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",15,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro16/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro16/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro16/manifest.json,"","",""
tmspro17,Photograph of Cherilyn (Liv) Wright speaking at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",16,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro17/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro17/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro17/manifest.json,"","",""
tmspro18,Photograph of Melanie Edwards speaking on the panel at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",17,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro18/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro18/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro18/manifest.json,"","",""
tmspro19,Photograph of Bruce North speaking on the panel at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",18,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro19/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro19/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro19/manifest.json,"","",""
tmspro20,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",19,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro20/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro20/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro20/manifest.json,"","",""
tmspro21,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",20,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro21/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro21/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro21/manifest.json,"","",""
tmspro22,Photograph of Deidre B. Flowers speaking on the panel at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",21,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro22/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro22/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro22/manifest.json,"","",""
tmspro23,Photograph of Deidre B. Flowers speaking on the panel at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",22,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro23/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro23/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro23/manifest.json,"","",""
tmspro24,Photograph of Melanie Edwards speaking on the panel at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",23,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro24/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro24/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro24/manifest.json,"","",""
tmspro25,Photograph of Juanita Coleman Merritt reading from her book on the panel at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",24,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro25/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro25/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro25/manifest.json,"","",""
tmspro26,Photograph of panel discussion at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",25,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro26/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro26/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro26/manifest.json,"","",""
tmspro27,Photograph of Daryl Sherman speaking at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",26,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro27/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro27/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro27/manifest.json,"","",""
tmspro28,Photograph of Daryl Sherman speaking at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",27,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro28/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro28/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro28/manifest.json,"","",""
tmspro29,Photograph of Traci McCracken speaking at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",28,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro29/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro29/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro29/manifest.json,"","",""
tmspro30,Photograph of Dan Perlstein speaking at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",29,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro30/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro30/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro30/manifest.json,"","",""
tmspro31,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",30,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro31/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro31/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro31/manifest.json,"Robin Jones, Daryl Sherman","",""
tmspro32,Photograph of Patricia Hayes in conversation at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",31,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro32/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro32/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro32/manifest.json,"","",""
tmspro33,Photograph of participants at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",32,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro33/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro33/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro33/manifest.json,"","",""
tmspro34,Photograph of Kristalynn Williams contributing archival items for scanning at Modern School multigenerational reunion,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",33,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro34/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro34/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro34/manifest.json,"","",""
tmspro35,Photograph of Teachers College student Esther Cyna presenting digital collection site to Modern School multigenerational reunion participant,"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",34,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro35/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro35/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro35/manifest.json,"","",""
tmspro36,Photograph of Modern School alumna Shirley Ferguson Godfrey (l) sharing archival material with Teachers College students John Fleming (center) and Barry Goldenberg (right),"Ferrec, Margaret","April 21, 2017",Under copyright,Photograph,"Project documentation, events, alumni",35,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro36/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro36/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro36/manifest.json,"","",""
tmspro38,Tagging Party Instructions,"Akeem, Khadijah",September 2020,Use with attribution,text,"Project documentation, metadata, artifacts, alumni",36,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro38_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro38_0/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro38/manifest.json,"","",""
tmspro39,Screenshot of tagging party with Modern School alumni,"","September 19, 2021",Under copyright,Photograph,"Project documentation, events, metadata, alumni",37,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro39/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro39/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro39/manifest.json,"","",""
tmspro40,Screenshot of tagging party with Modern School alumni,"","September 23, 2021",Under copyright,Photograph,"Project documentation, events, alumni",38,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro40/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro40/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro40/manifest.json,"","",""
tmspro41,Oral history interview themes,"",Spring 2019,Use with attribution,Text,"Project documentation, oral history",39,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro41_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro41_0/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro41/manifest.json,"","",""
tmspro42,Learning to the best of who you are,"Lamiell, Patricia","June 27, 2017",Under copyright,Text ,"Project documentation, Teachers College",40,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro42_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro42_0/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro42/manifest.json,"",Teachers College website news article about the project,Teachers College News
tmspro43,Harlem Stories: Oral History and Digital Tools,"Erickson, Ansley",Spring 2019,Use with attribution,Text,"Project documentation, Teachers College, oral history",41,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro43_00/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro43_00/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro43/manifest.json,"",Syllabus for A&HH 5051 class at Teachers College,""
tmspro44,Definitions of Black Agency: The Legacy of Mildred Johnson Edwards,"Hammond, Kordell","February 18, 2020",Under copyright ,Text ,"Project documentation, Teachers College, HumanitiesNY",42,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro44_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro44_0/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro44/manifest.json,"",Interview about Documenting the Modern School with Ansley Erickson and Karen D. Taylor,""
tmspro45,Education and Class in Harlem ,"",April 2017,Under copyright,Text ,"Project documentation, Teachers College",43,tmsdoc_item,process,"/img/derivatives/iiif/images/tmspro45_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/tmspro45_0/full/1140,/0/default.jpg",/img/derivatives/iiif/tmspro45/manifest.json,"",Event listing for Modern School multigenerational reunion ,New Yorkled website
